Title,Author/s,Pub Year,Q1.2. Non-neuro Measurements,Q1.1. Neuro Measurement Instruments,Q2.2. Experimental Designs,Q2.1. Study Setting,Q2.3. participants - recruitments,Q2.4. Ethical considerations,Q2.5. Intrusiveness - devices,Facial ,Eye ,Heart ,Skin ,Blood ,EEG ,fMRI ,NIRS ,fNIR ,Total ,Facial,Eye,Heart,Skin,Blood,EEG,fMRI,NIRS,fNIR,knowledge,regulation,attention,load,skills,beliefs,emotions,habits,traits,Cognitive,Non-Cognitive,Meta-Cognitive,Report,performance,Intervention,feedback,Q2.7. Reproducibility,Q3.1. Psychological constructs,Q3.3. Reported outcomes (Purposes)
ERPs Recorded during Early Second Language Exposure Predict Syntactic Learning,"Batterink, L.; Neville, H.J.",2014,"Behavioural, Performance",EEG,True-Experimental ,Laboratory,University student - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,,,,,67,,,,67,,,,,,1,,,,,,1,,,,,,,1,,,,1,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention,Performance Estimation (Performance Estimation)
An academic emotion database and the baseline evaluation,"Bian, C.; Zhang, Y.; Wang, D.; Liang, Y.; Wu, B.; Lu, W.",2018,Subjective,Facial,Pre- Experimental ,Field,Not mentioned - Volunteered,Consent form,Low - Camera,82,,,,,,,,,82,1,,,,,,,,,,,,1,,,1,,,1,1,,1,,,,Algorithm : Not available or explained; Data set :  Accessible,Cognitive: cognitive load ; Non-Cognitive: social and emotional qualities,Monitoring (Monitoring)
Appraisal of EEG Beta summative power towards Learning Style classification,"Bin Abdul Rashid, N.; Bin Taib, M.N.; Murat, Z.B.H.; Kadir, R.S.B.S.A.; Bin Lias, S.; Bin Sulaiman, N.",2015,Subjective,EEG,Pre- Experimental ,Laboratory,University undergraduate students - Volunteered,Not mentioned,High - Multi-channel EEG sensors,,,,,,131,,,,131,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Non-Cognitive: attitudes and beliefs,Monitoring (Monitoring)
Automated Physiological-Based Detection of Mind Wandering during Learning,"Blanchard, Nathaniel; Bixler, Robert; Joyce, Tera; D'Mello, Sidney",2014,"Performance, Subjective",Skin,Quasi-Experimental ,Laboratory,University undergraduate students - Not mentioned,Not mentioned,Medium - Galvanic skin response bracelet,,,,70,,,,,,70,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,Algorithm :  Explained; Data set : Not  Accessible,Cognitive: attention,Adaptive System (Monitoring)
Distinct hippocampal versus frontoparietal network contributions to retrieval and memory-guided exploration,"Bridge, D.J.; Cohen, N.J.; Voss, J.L.",2017,"Behavioural, Performance","Eye(Blink), fMRI",True-Experimental ,Laboratory,Not mentioned - Paid ,"Consent form, University ethics committee approval",High - fMRI,,21,,,,,21,,,21,,1,,,,,1,,,,,,,1,,,,,1,,,,1,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: skills,Performance Estimation (Performance Estimation)
Variation of the EEG-energy in a second language class,"Bueno-Palomeque, F.L.; Lema-Condo, E.L.; Castro-Villalobos, S.E.; Serpa-Andrade, L.J.; Ordonez-Morales, E.F.",2018,Performance,EEG,Pre- Experimental ,Laboratory,University student - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,,,,,51,,,,51,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,Algorithm :  Explained; Data set : Not  Accessible,Cognitive: attention,Monitoring (Monitoring)
Assessing the Attention Levels of Students by Using a Novel Attention Aware System Based on Brainwave Signals,"Chen, Chih-Ming; Wang, Jung-Ying; Yu, Chih-Ming",2017,Performance,EEG,Quasi-Experimental ,Laboratory,University graduate students - Not mentioned,Consent form,Medium - Single-channel EEG sensor,,,,,,10,,,,10,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,Algorithm :  Explained; Data set :  Accessible,Cognitive: attention,Feedback/Notification (Feedback/Notification)
"Effects of different video lecture types on sustained attention, Emotion, cognitive load, and learning performance","Chen, Chih-Ming; Wu, Chung-Hsin",2015,"Performance, Subjective","Heart, EEG",Pre- Experimental ,Laboratory,University undergraduates students - Not mentioned ,Consent form,Medium - Single-channel EEG sensor,,,37,,,37,,,,37,,,1,,,1,,,,,,1,1,,,1,1,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,"Cognitive: attention, cognitive load; Non-Cognitive: social and emotional qualities, habits and processes",Monitoring (Monitoring)
A hybrid intelligence-aided approach to affect-sensitive e-learning,"Chen, J.; Luo, N.; Liu, Y.; Liu, L.; Zhang, K.; Kolodziej, J.",2016,"Behavioural, Performance, Subjective","Facial, Skin",Pre- Experimental ,Laboratory,University graduate students - Not mentioned,Not mentioned,Medium - Galvanic skin response bracelet,30,,,30,,,,,,30,1,,,1,,,,,,,,,,,,1,,,,1,,,,1,,Algorithm :  Explained; Data set : Not  Accessible,Non-Cognitive: social and emotional qualities,Adaptive System (Adaptive System)
Reduced mental load in learning a motor visual task with virtual 3D method,"Dan, A.; Reiner, M.",2018,"Performance, Subjective",EEG,Quasi-Experimental ,Laboratory,University undergraduate students - Not mentioned,"Consent form, University ethics committee approval",High - Multi-channel EEG sensors,,,,,,14,,,,14,,,,,,1,,,,,1,,1,,,,,,1,,1,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: cognitive load ;  Meta-Cognitive: self-regulation ,Monitoring (Monitoring)
Towards a near infrared spectroscopy-based estimation of operator attentional state,"Derosière, G.; Dalhoumi, S.; Perrey, S.;",2014,"Performance, Subjective",NIRS,Pre- Experimental ,Laboratory,Seven males - Volunteered,"Consent form, University ethics committee approval",High - Multi-channel/electrodes devices,,,,,,,,7,,7,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,Algorithm :  Explained; Data set : Not  Accessible,Cognitive: attention,Feedback/Notification (Monitoring)
Use of Intelligent Student Mood Classification System (ISMCS) to achieve high quality in education,"Dimililer, K.",2018,0,Facial,Pre- Experimental ,Laboratory,Employees and university students - Not mentioned,Not mentioned,Low - Camera,40,,,,,,,,,40,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,Algorithm :  Explained; Data set :  Accessible,Non-Cognitive: social and emotional qualities,Adaptive system (Monitoring)
Feeler: Supporting awareness and reflection about learning through EEG data,"Durall, E.; Leinonen, T.",2015,Subjective,"Eye(Blink), EEG",Pre- Experimental ,Laboratory,Not mentioned,Not mentioned,Medium - Single-channel EEG sensor,,22,,,,22,,,,22,,1,,,,1,,,,1,,1,,,,,,,1,,1,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention; Meta-Cognitive: knowledge ,Feedback/Notification (Feedback/Notification)
Sensor-based methodological observations for studying online learning,"Edwards, A.; Massicci, A.; Sridharan, S.; Geigel, J.; Wang, L.; Bailey, R.; Alm, C.O.",2017,"Behavioural, Performance, Subjective","Facial, Skin",Pre- Experimental ,Laboratory,College students - Not mentioned,Not mentioned,High - Galvanic skin response with attached multi-sensors,19,,,19,,,,,,19,1,,,1,,,,,,,,1,1,,1,,1,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,"Cognitive: attention, cognitive load ; Non-Cognitive: habits and processes, attitudes and beliefs ",Performance Estimation (Monitoring)
Measuring the engagement of the learner in a controlled environment using three different biosensors,"El-Abbasy, K.; Angelopoulou, A.; Towell, T.",2018,"Behavioural, Performance, Subjective","Facial, EEG",True-Experimental ,Laboratory,University students - Not mentioned,Consent form,High - Multi-channel EEG sensors,5,,,,,5,,,,5,1,,,,,1,,,,,,1,,,,1,,,1,1,,,,1,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention ; Non-Cognitive: social and emotional qualities,Adaptive System (Adaptive System)
Adaptive multimedia learning framework with facial recognition system,"Enegi, I.L.; Hamada, M.; Adeshina, S.A.",2018,Subjective,Facial,Pre- Experimental ,Laboratory,Not mentioned,Not mentioned,Low - Camera,30,,,,,,,,,30,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,Algorithm :  Explained; Data set : Not  Accessible,Non-Cognitive: social and emotional qualities ,Monitoring (Monitoring)
